#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-03T00:49:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-03T00:49:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/587/A160/tablea1&-out=Galaxy,Dist,hz,e_hz1,e_hz2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
Galaxy	Dist	hz	e_hz1	e_hz2
NGC5633   	 40.037	 2.960	  2.960	 -1.480
NGC5636   	 23.111	 4.010	 12.030	 -0.802
NGC5645   	 22.200	 2.155	  1.724	 -0.539
NGC5660   	 37.200	 1.971	  1.576	 -0.493
NGC5665   	 27.700	 1.671	  1.337	 -0.418
NGC5667   	 26.986	 1.829	  1.463	 -0.457
NGC5668   	 26.900	 2.638	  2.110	 -0.659
NGC5669   	 24.963	 3.255	  2.604	 -0.814
NGC5676   	 32.454	 2.237	  1.790	 -0.559
NGC5678   	 29.467	 3.379	  2.253	 -0.965
NGC5691   	 30.200	 1.280	  1.024	 -0.320
NGC5693   	 31.653	 1.844	  1.475	 -0.461
NGC5701   	 26.100	 9.705	 29.114	 -1.941
NGC5713   	 23.800	 3.776	  2.517	 -1.079
NGC5728   	 30.567	10.149	 30.447	 -2.030
NGC5740   	 28.988	 3.381	  2.254	 -0.966
NGC5744   	 36.875	 2.157	  1.438	 -0.616
NGC5750   	 33.633	 5.632	 16.896	 -1.126
NGC5757   	 39.500	 4.112	 12.336	 -0.822
NGC5762   	 43.800	 4.397	 13.190	 -0.879
NGC5768   	 28.825	 2.036	  1.357	 -0.582
NGC5770   	 22.400	 3.450	 10.350	 -0.690
NGC5774   	 30.625	 3.560	  2.848	 -0.890
NGC5781   	 31.875	 0.916	  0.733	 -0.229
NGC5783   	 37.650	 1.999	  1.599	 -0.500
NGC5789   	 25.042	 1.460	  1.168	 -0.365
NGC5798   	 45.450	 1.185	  0.948	 -0.296
NGC5806   	 25.541	 4.343	  2.895	 -1.241
NGC5821   	 12.319	11.593	 34.778	 -2.319
NGC5832   	 11.500	 2.846	  2.277	 -0.712
NGC5850   	 23.150	 9.706	  6.471	 -2.773
NGC5861   	 27.950	 2.475	  1.980	 -0.619
NGC5866B  	 17.700	 4.667	  4.667	 -2.333
NGC5885   	 29.120	 2.883	  2.306	 -0.721
NGC5892   	 31.240	 3.164	  2.532	 -0.791
NGC5913   	 32.000	 4.843	 14.530	 -0.969
NGC5915   	 27.600	 1.194	  0.955	 -0.298
NGC5921   	 19.933	 5.652	  3.768	 -1.615
NGC5930   	 34.960	 3.529	 10.586	 -0.706
NGC5937   	 38.825	 1.828	  1.219	 -0.522
NGC5949   	 14.254	 3.487	  2.325	 -0.996
NGC5950   	 38.375	 1.518	  1.214	 -0.379
NGC5953   	 27.060	 3.486	 10.457	 -0.697
NGC5954   	 32.100	 3.250	  3.250	 -1.625
NGC5956   	 26.417	 1.875	  1.250	 -0.536
NGC5957   	 25.375	 7.360	 22.080	 -1.472
NGC5958   	 28.069	 1.022	  0.818	 -0.256
NGC5962   	 34.050	 1.917	  1.534	 -0.479
NGC5963   	 26.775	 4.184	  2.790	 -1.196
NGC5964   	 26.567	 4.813	  3.850	 -1.203
NGC5970   	 30.811	 1.930	  1.544	 -0.483
NGC5985   	 42.257	 6.674	  4.449	 -1.907
NGC6012   	 21.850	 4.177	  2.785	 -1.194
NGC6014   	 34.597	 3.649	 10.946	 -0.730
NGC6063   	 46.171	 2.713	  1.808	 -0.775
NGC6070   	 31.344	 2.969	  2.375	 -0.742
NGC6106   	 24.618	 1.595	  1.276	 -0.399
NGC6140   	 18.600	 3.195	  2.556	 -0.799
NGC6155   	 33.542	 1.228	  0.983	 -0.307
NGC6181   	 33.406	 2.568	  1.712	 -0.734
NGC6207   	 19.175	 2.276	  1.821	 -0.569
NGC6217   	 23.900	 3.947	  2.632	 -1.128
NGC6236   	 24.925	 2.463	  1.971	 -0.616
NGC6237   	 15.708	 4.298	  3.438	 -1.074
NGC6267   	 53.950	 2.843	  1.895	 -0.812
NGC6278   	 39.150	 3.461	 10.382	 -0.692
NGC6339   	 30.538	 3.409	  2.728	 -0.852
NGC6340   	 22.000	 5.140	  5.140	 -2.570
NGC6412   	 23.500	 2.161	  1.729	 -0.540
NGC6434   	 40.071	 2.776	  1.850	 -0.793
NGC6889   	 34.800	 2.313	  1.542	 -0.661
NGC6902   	 38.500	 9.113	 27.340	 -1.823
NGC6902B  	 38.200	 1.453	  1.163	 -0.363
NGC6923   	 36.190	 3.439	  2.293	 -0.983
NGC7051   	 27.375	 2.050	  1.366	 -0.586
NGC7070   	 30.300	 2.016	  1.613	 -0.504
NGC7079   	 31.800	 3.738	 11.214	 -0.748
NGC7091   	 35.694	 2.013	  1.610	 -0.503
NGC7098   	 29.100	11.222	 33.666	 -2.244
NGC7107   	 27.600	 2.301	  1.841	 -0.575
NGC7140   	 37.400	 5.778	  3.852	 -1.651
NGC7154   	 28.350	 1.976	  1.581	 -0.494
NGC7162A  	 30.314	 3.233	  2.586	 -0.808
NGC7163   	 29.789	 4.395	 13.184	 -0.879
NGC7167   	 31.100	 1.298	  1.039	 -0.325
NGC7171   	 41.009	 3.892	  2.595	 -1.112
NGC7179   	 45.900	 3.527	 10.582	 -0.705
NGC7180   	 18.562	 2.180	  6.540	 -0.436
NGC7188   	 24.458	 2.973	  1.982	 -0.849
NGC7191   	 37.710	 2.618	  1.745	 -0.748
NGC7205   	 19.388	 5.357	  3.571	 -1.531
NGC7213   	 22.000	 8.020	  8.020	 -4.010
NGC7218   	 24.762	 2.028	  1.623	 -0.507
NGC7219   	 41.167	 4.104	 12.313	 -0.821
NGC7247   	 34.411	 1.555	  1.037	 -0.444
NGC7254   	 37.611	 1.169	  0.779	 -0.334
NGC7280   	 23.060	 4.194	 12.582	 -0.839
NGC7290   	 47.210	 1.697	  1.132	 -0.485
NGC7371   	 31.200	 3.176	  2.117	 -0.907
NGC7378   	 33.483	 3.005	  9.015	 -0.601
NGC7412   	 12.485	 5.103	  3.402	 -1.458
NGC7418   	 19.850	 3.956	  3.165	 -0.989
NGC7418A  	 25.400	 5.117	  3.411	 -1.462
NGC7421   	 25.444	 3.389	  2.259	 -0.968
NGC7424   	 11.500	 6.978	  5.582	 -1.744
NGC7437   	 29.200	 2.143	  1.714	 -0.536
NGC7448   	 27.694	 1.580	  1.264	 -0.395
NGC7465   	 27.200	 2.780	  2.780	 -1.390
NGC7479   	 33.850	 6.996	  4.664	 -1.999
NGC7496   	 15.020	 5.352	  3.568	 -1.529
NGC7513   	 19.850	 7.221	 21.664	 -1.444
NGC7531   	 22.788	 5.521	 16.564	 -1.104
NGC7552   	 17.150	 7.640	  7.640	 -3.820
NGC7582   	 20.625	10.168	 30.505	 -2.034
NGC7625   	 23.000	 4.250	  4.250	 -2.125
NGC7661   	 32.100	 1.946	  1.557	 -0.487
NGC7667   	 37.514	 2.109	  2.109	 -1.054
NGC7689   	 25.217	 2.322	  1.858	 -0.581
NGC7690   	 22.680	 3.374	 10.123	 -0.675
NGC7694   	 31.708	 1.245	  0.996	 -0.311
NGC7713   	 10.272	 3.500	  2.800	 -0.875
NGC7714   	 30.920	 3.790	  3.790	 -1.895
NGC7716   	 32.960	 2.673	  1.782	 -0.764
NGC7723   	 27.373	 4.485	  2.990	 -1.281
NGC7724   	 37.625	 3.389	 10.166	 -0.678
NGC7727   	 23.300	 6.320	  6.320	 -3.160
NGC7731   	 36.800	 3.012	  9.035	 -0.602
NGC7741   	 14.263	 4.521	  3.617	 -1.130
NGC7742   	 22.200	 4.290	  4.290	 -2.145
NGC7743   	 21.433	 6.842	 20.527	 -1.368
NGC7750   	 32.191	 2.708	  1.806	 -0.774
NGC7755   	 31.486	 5.792	  3.861	 -1.655
NGC7757   	 41.056	 2.629	  2.104	 -0.657
NGC7764   	 20.500	 1.726	  1.381	 -0.431
NGC7793   	  4.171	 8.135	  6.508	 -2.034
NGC7798   	 32.600	 1.883	  1.255	 -0.538
NGC7800   	 23.900	 2.473	  1.978	 -0.618
NGC7814   	 17.171	10.230	 10.230	 -5.115
PGC000143 	  1.109	20.894	 20.894	-10.447
PGC002492 	 21.528	 1.438	  1.151	 -0.360
PGC003853 	 12.600	 4.933	  3.946	 -1.233
PGC004143 	 25.972	 4.683	 14.049	 -0.937
PGC006048 	 27.167	 2.323	  2.323	 -1.161
PGC006244 	 22.708	 1.854	  1.484	 -0.464
PGC006626 	 19.800	 3.553	  2.842	 -0.888
PGC006667 	 24.600	 2.400	  1.920	 -0.600
PGC006706 	 21.000	 2.023	  1.618	 -0.506
PGC007109 	 26.639	 2.625	  7.875	 -0.525
PGC007654 	 22.375	 1.183	  0.947	 -0.296
PGC009559 	 20.200	 3.629	  2.903	 -0.907
PGC010813 	 12.600	 0.614	  0.491	 -0.154
PGC011248 	 33.181	 2.767	  2.213	 -0.692
PGC011367 	 21.861	 3.032	  2.022	 -0.866
PGC011677 	 18.300	 2.299	  1.839	 -0.575
PGC011744 	 21.792	 0.798	  0.638	 -0.199
PGC012068 	 27.600	 2.148	  1.718	 -0.537
PGC012608 	 27.833	 1.698	  1.359	 -0.425
PGC012633 	 29.775	 2.037	  1.358	 -0.582
PGC012664 	 34.700	 2.240	  1.792	 -0.560
PGC012981 	 22.700	 2.885	  2.308	 -0.721
PGC013684 	 16.889	 2.111	  1.689	 -0.528
PGC013716 	 28.011	 1.664	  1.331	 -0.416
PGC013821 	 17.153	 0.935	  0.748	 -0.234
PGC014037 	 35.361	 1.042	  0.833	 -0.260
PGC014487 	 22.400	 2.714	  2.171	 -0.678
PGC015214 	 25.028	 1.974	  1.579	 -0.494
PGC015869 	 31.400	 1.981	  1.585	 -0.495
PGC016090 	 30.569	 2.150	  1.720	 -0.538
PGC016389 	  9.125	 2.506	  2.506	 -1.253
PGC016784 	 24.900	 3.287	  2.630	 -0.822
PGC027616 	 28.736	 1.670	  1.336	 -0.417
PGC027825 	 26.292	 1.733	  1.386	 -0.433
PGC027833 	 28.800	 1.692	  1.353	 -0.423
PGC028380 	 35.083	 1.562	  1.250	 -0.391
PGC029653 	  1.435	10.790	 10.790	 -5.395
PGC031979 	 30.200	 1.806	  1.445	 -0.451
PGC032091 	 35.042	 1.517	  1.214	 -0.379
PGC035684 	  3.936	 1.802	  1.442	 -0.451
PGC035705 	 22.431	 1.377	  1.102	 -0.344
PGC036217 	 27.300	 2.300	  1.840	 -0.575
PGC036274 	 27.300	 1.960	  1.960	 -0.980
PGC037373 	 27.500	 1.824	  1.459	 -0.456
PGC038250 	 36.181	 1.496	  1.196	 -0.374
PGC040447 	  9.833	 2.121	  1.697	 -0.530
PGC042068 	 24.931	 5.339	 16.018	 -1.068
PGC042160 	 16.100	 1.451	  1.161	 -0.363
PGC042868 	 25.400	 3.757	  3.005	 -0.939
PGC043020 	 25.800	 3.999	  3.199	 -1.000
PGC043345 	 23.300	 3.582	  2.866	 -0.896
PGC043458 	 31.300	 3.099	  2.479	 -0.775
PGC044735 	 26.000	 1.739	  1.392	 -0.435
PGC044906 	 43.100	 2.553	  2.553	 -1.276
PGC044952 	 29.700	 1.071	  0.857	 -0.268
PGC045195 	 25.000	 4.801	  3.841	 -1.200
PGC045257 	 39.472	 1.577	  1.262	 -0.394
PGC045359 	 23.600	 2.364	  1.891	 -0.591
PGC045652 	 21.700	 7.113	  7.113	 -3.556
PGC045824 	 32.000	 2.242	  1.793	 -0.560
PGC045958 	 36.400	 2.470	  2.470	 -1.235
PGC046382 	 23.300	 2.116	  1.693	 -0.529
PGC047721 	 30.125	 3.578	  2.385	 -1.022
PGC047846 	 20.917	 2.248	  1.798	 -0.562
PGC048087 	 36.500	 1.932	  1.546	 -0.483
PGC048179 	 22.700	 2.409	  1.927	 -0.602
PGC049521 	 28.625	 1.522	  1.218	 -0.381
PGC050229 	 22.528	 2.766	  2.213	 -0.692
PGC051291 	 37.986	 1.468	  1.175	 -0.367
PGC051523 	 23.417	 1.045	  0.836	 -0.261
PGC052460 	 26.139	 0.974	  0.779	 -0.243
PGC052853 	 34.750	 1.930	  1.544	 -0.482
PGC052940 	 28.800	 2.700	  2.700	 -1.350
PGC053093 	 38.575	 1.753	  5.259	 -0.351
PGC053134 	 30.700	 2.835	  2.268	 -0.709
PGC053415 	 33.500	 4.700	 14.099	 -0.940
PGC053568 	 29.097	 1.987	  1.589	 -0.497
PGC053779 	 25.764	 2.339	  1.871	 -0.585
PGC054944 	 29.367	 1.256	  1.005	 -0.314
PGC065367 	  2.054	 4.213	  3.370	 -1.053
PGC066242 	 40.350	 1.842	  1.474	 -0.461
PGC066559 	 37.861	 1.821	  1.457	 -0.455
PGC067871 	 36.000	 2.642	  2.114	 -0.661
PGC068771 	 39.347	 2.220	  1.776	 -0.555
PGC069224 	 12.431	 2.465	  1.972	 -0.616
PGC069293 	 22.900	 2.717	  2.174	 -0.679
PGC069339 	 39.056	 1.634	  1.308	 -0.409
PGC069415 	 12.000	 1.802	  1.442	 -0.450
PGC069448 	 39.883	 3.718	  2.479	 -1.062
PGC071479 	 24.431	 1.688	  1.350	 -0.422
PGC072252 	 27.686	 1.560	  1.248	 -0.390
PGC1059326	 38.056	 2.983	  8.948	 -0.597
PGC1063216	 37.917	 3.103	  9.310	 -0.621
UGC00017  	 13.000	 2.992	  2.394	 -0.748
UGC00099  	 23.700	 2.291	  1.833	 -0.573
UGC00156  	 15.900	 2.565	  2.052	 -0.641
UGC00191  	 15.900	 2.096	  1.677	 -0.524
UGC00313  	 28.958	 1.677	  1.118	 -0.479
UGC00634  	 28.700	 2.005	  1.604	 -0.501
UGC00882  	 32.361	 1.716	  1.373	 -0.429
UGC00941  	 37.861	 1.447	  1.158	 -0.362
UGC01014  	 29.611	 1.178	  0.942	 -0.295
UGC01020  	 35.958	 2.020	  2.020	 -1.010
UGC01104  	  7.550	 1.157	  0.926	 -0.289
UGC01133  	 25.200	 1.408	  1.126	 -0.352
UGC01176  	  9.170	 3.948	  3.159	 -0.987
UGC01200  	 11.222	 1.518	  1.214	 -0.380
UGC01547  	 35.100	 1.814	  1.451	 -0.453
UGC01551  	 35.600	 2.396	  1.917	 -0.599
UGC01670  	 20.700	 2.255	  1.804	 -0.564
UGC01862  	 20.410	 3.166	  2.110	 -0.904
UGC01945  	 24.556	 2.649	  2.119	 -0.662
UGC01981  	 21.000	 2.073	  1.659	 -0.518
UGC02081  	 43.250	 1.420	  1.420	 -0.710
UGC02275  	 13.100	 3.593	  2.874	 -0.898
UGC02302  	 14.000	 3.877	  3.102	 -0.969
UGC02345  	 16.450	 3.149	  2.519	 -0.787
UGC02443  	 38.500	 2.434	  1.623	 -0.695
UGC03070  	 33.450	 1.031	  0.825	 -0.258
UGC04151  	 31.750	 1.214	  0.971	 -0.303
UGC04169  	 32.633	 1.669	  1.336	 -0.417
UGC04305  	  3.340	 7.087	  5.669	 -1.772
UGC04306  	 33.583	 2.390	  7.169	 -0.478
UGC04390  	 33.500	 2.455	  1.964	 -0.614
UGC04393  	 19.350	 2.390	  2.390	 -1.195
UGC04426  	  8.150	 2.051	  1.641	 -0.513
UGC04483  	  3.440	 1.517	  1.213	 -0.379
UGC04499  	 12.800	 2.061	  1.649	 -0.515
UGC04543  	 30.000	 2.455	  1.964	 -0.614
UGC04549  	 17.889	 1.603	  1.283	 -0.401
UGC04621  	 42.700	 1.678	  1.119	 -0.479
UGC04714  	 17.403	 1.584	  1.268	 -0.396
UGC04797  	 19.600	 2.544	  2.035	 -0.636
UGC04834  	 28.764	 1.459	  1.167	 -0.365
UGC04837  	 28.900	 1.639	  1.312	 -0.410
UGC04841  	 27.300	 3.995	  3.196	 -0.999
UGC04867  	 34.681	 2.280	  1.824	 -0.570
UGC04871  	 34.806	 2.186	  1.748	 -0.546
UGC04922  	 32.600	 3.332	  2.666	 -0.833
UGC04988  	 21.847	 1.275	  1.020	 -0.319
UGC05004  	 25.486	 1.633	  1.306	 -0.408
UGC05015  	 22.903	 2.406	  1.925	 -0.602
UGC05114  	 22.333	 1.350	  1.080	 -0.337
UGC05139  	  4.568	 6.669	  6.669	 -3.334
UGC05179  	 18.861	 4.595	 13.784	 -0.919
UGC05336  	  4.230	 4.966	  4.966	 -2.483
UGC05340  	  5.895	 1.958	  1.567	 -0.490
UGC05354  	 16.264	 1.977	  1.582	 -0.494
UGC05358  	 40.472	 2.643	  2.643	 -1.321
UGC05393  	 24.200	 2.073	  1.658	 -0.518
UGC05401  	 27.875	 2.254	  2.254	 -1.127
UGC05403  	 28.917	 1.856	  5.567	 -0.371
UGC05427  	  7.110	 1.542	  1.234	 -0.386
UGC05456  	  4.053	 1.942	  1.553	 -0.485
UGC05464  	 14.139	 1.736	  1.388	 -0.434
UGC05478  	 23.400	 2.432	  1.945	 -0.608
UGC05522  	 38.000	 2.403	  1.602	 -0.687
UGC05575  	 20.333	 1.307	  1.045	 -0.327
UGC05612  	 19.100	 3.593	  2.874	 -0.898
UGC05633  	 23.400	 3.268	  2.615	 -0.817
UGC05676  	 19.722	 2.232	  1.785	 -0.558
UGC05688  	 30.800	 3.704	  2.963	 -0.926
UGC05707  	 30.150	 1.901	  1.521	 -0.475
UGC05739  	 41.278	 3.950	  3.950	 -1.975
UGC05740  	 11.300	 1.713	  1.370	 -0.428
UGC05764  	  6.900	 2.015	  1.612	 -0.504
UGC05814  	 26.125	 2.420	  2.420	 -1.210
UGC05829  	  8.000	 4.470	  3.576	 -1.118
UGC05832  	 16.889	 2.550	  2.550	 -1.275
UGC05841  	 26.194	 2.860	  1.906	 -0.817
UGC05846  	 19.300	 2.502	  2.001	 -0.625
UGC05922  	 25.639	 2.236	  6.707	 -0.447
UGC05934  	 22.347	 3.068	  2.454	 -0.767
UGC05947  	 22.800	 1.966	  1.573	 -0.491
UGC05976  	 16.597	 1.985	  1.588	 -0.496
UGC05979  	 20.600	 1.718	  1.374	 -0.430
UGC05989  	 15.653	 1.439	  1.151	 -0.360
UGC06014  	 15.750	 1.448	  1.158	 -0.362
UGC06023  	 32.956	 1.252	  1.001	 -0.313
UGC06145  	 10.264	 2.717	  2.717	 -1.358
UGC06151  	 24.300	 1.905	  1.524	 -0.476
UGC06157  	 43.000	 1.697	  1.358	 -0.424
UGC06162  	 34.033	 2.576	  2.061	 -0.644
UGC06181  	 16.222	 2.080	  2.080	 -1.040
UGC06194  	 36.708	 1.110	  0.888	 -0.278
UGC06249  	 14.722	 2.203	  1.762	 -0.551
UGC06271  	 27.903	 2.766	  8.297	 -0.553
UGC06309  	 48.600	 1.448	  1.158	 -0.362
UGC06320  	 22.600	 0.956	  0.765	 -0.239
UGC06335  	 40.667	 1.844	  1.475	 -0.461
UGC06345  	 26.900	 2.184	  1.747	 -0.546
UGC06433  	 29.306	 1.479	  1.183	 -0.370
UGC06446  	 15.900	 3.573	  2.859	 -0.893
UGC06512  	 25.972	 2.855	  8.566	 -0.571
UGC06517  	 34.597	 1.853	  1.236	 -0.530
UGC06570  	 22.264	 3.218	  9.653	 -0.644
UGC06628  	 17.000	 3.798	  3.038	 -0.949
UGC06682  	 23.800	 2.264	  1.811	 -0.566
UGC06713  	 17.000	 1.877	  1.502	 -0.469
UGC06773  	 14.300	 1.699	  1.359	 -0.425
UGC06782  	  9.350	 2.599	  2.079	 -0.650
UGC06816  	 22.000	 2.830	  2.264	 -0.707
UGC06817  	  2.922	 4.094	  3.275	 -1.024
UGC06840  	 17.000	 3.388	  2.710	 -0.847
UGC06849  	 13.819	 2.288	  1.830	 -0.572
UGC06900  	  5.900	 5.529	 16.587	 -1.106
UGC06903  	 30.500	 2.750	  2.200	 -0.688
UGC06912  	 24.400	 2.085	  2.085	 -1.042
UGC06917  	 18.867	 3.622	  2.897	 -0.905
UGC06922  	 12.389	 4.481	 13.443	 -0.896
UGC06930  	 17.000	 3.360	  2.688	 -0.840
UGC06931  	 16.597	 1.885	  1.508	 -0.471
UGC06956  	 17.000	 2.993	  2.395	 -0.748
UGC06978  	 21.333	 1.813	  1.450	 -0.453
UGC06983  	 20.200	 3.839	  3.072	 -0.960
UGC07019  	 21.056	 2.074	  1.659	 -0.518
UGC07053  	 25.900	 2.090	  1.672	 -0.523
UGC07129  	 22.875	 2.409	  7.226	 -0.482
UGC07133  	 35.681	 2.109	  1.687	 -0.527
UGC07143  	 35.736	 1.384	  0.923	 -0.396
UGC07175  	 22.900	 1.244	  0.995	 -0.311
UGC07184  	 34.200	 1.330	  1.064	 -0.333
UGC07189  	 23.375	 2.732	  2.186	 -0.683
UGC07218  	 16.000	 1.736	  1.389	 -0.434
UGC07239  	 24.900	 3.164	  2.531	 -0.791
UGC07242  	  5.420	 2.832	  2.832	 -1.416
UGC07257  	 16.300	 1.163	  0.931	 -0.291
UGC07267  	 78.820	 1.777	  1.421	 -0.444
UGC07300  	  9.700	 2.066	  1.653	 -0.516
UGC07332  	 17.600	 3.733	  3.733	 -1.866
UGC07408  	  6.700	 3.033	  2.427	 -0.758
UGC07490  	 11.100	 2.822	  2.258	 -0.706
UGC07534  	 15.000	 2.152	  1.722	 -0.538
UGC07559  	  4.330	 3.741	  2.992	 -0.935
UGC07590  	 31.100	 1.840	  1.840	 -0.920
UGC07596  	  7.778	 2.412	  1.929	 -0.603
UGC07599  	  5.200	 2.178	  1.742	 -0.544
UGC07605  	  4.317	 2.796	  2.237	 -0.699
UGC07608  	  7.600	 2.521	  2.017	 -0.630
UGC07612  	 24.250	 2.438	  1.950	 -0.609
UGC07639  	  6.967	 5.433	 16.299	 -1.087
UGC07673  	  9.700	 2.325	  1.860	 -0.581
UGC07690  	  7.500	 2.373	  1.898	 -0.593
UGC07698  	  4.950	 7.135	  5.708	 -1.784
UGC07700  	 41.292	 2.329	  1.863	 -0.582
UGC07730  	 38.611	 1.330	  1.064	 -0.333
UGC07739  	 15.200	 2.501	  2.501	 -1.250
UGC07795  	  0.861	 4.366	  3.493	 -1.091
UGC07824  	 17.042	 4.132	 12.395	 -0.826
UGC07848  	 51.700	 3.494	  2.329	 -0.998
UGC07906  	 14.042	 2.344	  2.344	 -1.172
UGC07911  	 23.500	 4.595	  3.676	 -1.149
UGC07943  	 20.000	 1.710	  1.368	 -0.427
UGC07949  	  7.300	 3.682	  3.682	 -1.841
UGC07950  	  8.900	 2.156	  1.725	 -0.539
UGC08041  	 16.300	 3.815	  3.052	 -0.954
UGC08042  	 36.903	 1.466	  1.173	 -0.367
UGC08053  	 20.200	 1.739	  1.391	 -0.435
UGC08056  	 37.486	 1.680	  1.344	 -0.420
UGC08084  	 41.100	 2.251	  1.801	 -0.563
UGC08153  	 42.300	 1.844	  1.475	 -0.461
UGC08155  	 40.611	 6.170	 18.511	 -1.234
UGC08201  	  4.394	 6.779	  5.423	 -1.695
UGC08303  	 20.300	 2.483	  1.986	 -0.621
UGC08320  	  4.530	 4.286	  3.428	 -1.071
UGC08385  	 22.400	 2.623	  2.098	 -0.656
UGC08441  	 26.800	 3.314	  2.651	 -0.829
UGC08489  	 24.600	 1.807	  1.445	 -0.452
UGC08507  	 22.800	 2.335	  1.868	 -0.584
UGC08508  	  2.636	 3.420	  3.420	 -1.710
UGC08516  	 23.250	 1.007	  0.805	 -0.252
UGC08588  	 26.400	 1.761	  1.409	 -0.440
UGC08597  	 38.400	 1.923	  1.538	 -0.481
UGC08614  	 21.600	 6.855	  6.855	 -3.428
UGC08639  	 29.400	 2.096	  1.677	 -0.524
UGC08651  	  3.178	 3.675	  2.940	 -0.919
UGC08658  	 40.986	 3.981	  2.654	 -1.137
UGC08688  	 18.819	 1.456	  1.165	 -0.364
UGC08733  	 33.475	 2.119	  1.695	 -0.530
UGC08839  	 22.200	 1.967	  1.574	 -0.492
UGC08851  	 23.806	 1.572	  1.258	 -0.393
UGC08877  	 33.042	 2.080	  1.664	 -0.520
UGC08892  	 29.700	 2.302	  1.841	 -0.575
UGC08909  	 22.611	 1.558	  1.246	 -0.389
UGC08995  	 23.575	 2.366	  1.893	 -0.592
UGC09056  	 27.944	 0.894	  0.715	 -0.224
UGC09126  	 36.000	 3.319	  3.319	 -1.660
UGC09128  	  3.616	 2.961	  2.369	 -0.740
UGC09206  	 31.681	 1.190	  0.952	 -0.298
UGC09215  	 28.200	 2.890	  2.312	 -0.722
UGC09245  	 17.000	 2.501	  2.001	 -0.625
UGC09274  	 15.917	 2.024	  1.619	 -0.506
UGC09282  	 15.722	 1.819	  1.455	 -0.455
UGC09291  	 44.025	 3.246	  2.164	 -0.927
UGC09299  	 30.833	 1.874	  1.499	 -0.468
UGC09356  	 30.917	 2.150	  1.434	 -0.614
UGC09364  	 29.903	 1.549	  1.239	 -0.387
UGC09380  	 25.100	 1.756	  1.405	 -0.439
UGC09469  	 25.500	 2.489	  2.489	 -1.245
UGC09470  	 26.250	 1.653	  1.323	 -0.413
UGC09569  	 34.625	 1.678	  1.343	 -0.420
UGC09601  	 25.639	 1.681	  1.345	 -0.420
UGC09661  	 17.250	 1.471	  1.177	 -0.368
UGC09663  	 38.200	 1.431	  1.145	 -0.358
UGC09730  	 29.611	 1.673	  1.338	 -0.418
UGC09837  	 41.200	 1.644	  1.315	 -0.411
UGC09875  	 27.639	 3.182	  2.545	 -0.795
UGC09936  	 40.700	 1.790	  1.432	 -0.448
UGC09951  	 27.847	 1.691	  1.353	 -0.423
UGC09992  	 11.200	 1.644	  1.316	 -0.411
UGC10014  	 29.800	 2.061	  1.649	 -0.515
UGC10020  	 33.400	 1.827	  1.462	 -0.457
UGC10041  	 34.700	 2.999	  2.400	 -0.750
UGC10054  	 25.600	 2.937	  2.350	 -0.734
UGC10290  	 30.800	 2.022	  1.617	 -0.505
UGC10310  	 15.800	 3.288	  2.630	 -0.822
UGC10437  	 36.069	 2.823	  2.259	 -0.706
UGC10445  	 28.700	 2.062	  1.649	 -0.515
UGC10721  	 48.750	 1.191	  0.794	 -0.340
